id,prob
833724,0.16
60465234,0.02
8805880,0.14
91121019,0.17
12506889,0.24
92849538,0.08
74575021,0.38
5405696,0.06
6583842,0.22
29594422,0.11
12926434,0.21
15250565,0.2
3806467,0.02
58714127,0.47
1206558,0.18
42433788,0.27
2366612,0.23
129358028,0.26
59261608,0.16
1109924,0.27
75417971,0.17
12695317,0.04
5787278,0.33
20148915,0.08
809799,0.1
58622411,0.17
35773701,0.13
59139593,0.28
77480585,0.11
63398719,0.22
43839860,0.12
6706976,0.28
42333804,0.16
14658964,0.24
85588030,0.09
4807797,0.12
96750707,0.33
22314389,0.13
1675698,0.16
55370320,0.13
88065058,0.05
5967543,0.35
101921368,0.39
105333378,0.09
38882512,0.24
98427591,0.11
34603071,0.18
45272112,0.12
1604502,0.15
3635761,0.13
44515835,0.4
79421006,0.14
51035602,0.1
10073335,0.18
26078105,0.09
23885838,0.23
66593126,0.32
40287584,0.43
5355755,0.34
56117428,0.32
126166008,0.02
485283,0.04
47654443,0.35
63387759,0.3
5773731,0.11
1002813,0.29
44936040,0.13
1252563,0.12
26339342,0.35
77078996,0.17
63529794,0.14
83963167,0.14
63435393,0.08
65189838,0.24
45474453,0.13
94217962,0.26
79102534,0.03
57356310,0.03
1111937,0.38
72174187,0.02
51806225,0.16
2744572,0.22
56522203,0.08
65654099,0.16
1239571,0.17
12998750,0.08
3004786,0.28
21120464,0.07
10605099,0.33
19066589,0.05
10676079,0.08
26380345,0.08
6178075,0.2
77050143,0.32
1093593,0.28
96525742,0.14
47451151,0.14
54455349,0.24
90054285,0.07
7505030,0.03
5756959,0.31
62145746,0.16
771460,0.09
129171644,0.11
6536642,0.16
12439382,0.39
18324664,0.26
44766237,0.15
122684405,0.15
7698728,0.45
70160563,0.23
1609816,0.15
61434075,0.09
51006512,0.27
18594675,0.15
35803975,0.12
2370112,0.02
23883918,0.12
49904276,0.22
6235135,0.31
129516960,0.03
41063439,0.33
44105296,0.14
15660689,0.17
1382452,0.23
48524436,0.18
40674353,0.04
12766866,0.19
11705459,0.13
7925709,0.12
8961686,0.09
27531679,0.22
32919813,0.43
6206879,0.09
121120374,0.06
7690037,0.17
9856058,0.18
39659290,0.11
68477026,0.21
41011212,0.09
3926220,0.25
3675816,0.31
10716681,0.11
1001416,0.16
1675764,0.38
48609026,0.25
15729868,0.24
1468082,0.36
23743321,0.13
77352433,0.25
7068246,0.26
10098251,0.14
65831914,0.03
48735635,0.09
41620362,0.03
14719089,0.12
38882639,0.28
27542484,0.12
666653,0.15
12655181,0.2
585658,0.34
93769356,0.14
49963764,0.12
1076751,0.19
74031893,0.29
55220437,0.13
29294332,0.04
64721237,0.02
2086915,0.29
63898787,0.51
6581967,0.41
119196498,0.34
80580924,0.15
57673278,0.23
59161213,0.15
93939330,0.23
6154694,0.23
1523343,0.11
7441341,0.13
91703157,0.09
463417,0.12
13867926,0.2
95087984,0.11
41043367,0.15
77258951,0.2
13027353,0.11
1338043,0.26
1954848,0.24
74866154,0.21
109604791,0.08
2934936,0.08
58050747,0.02
23834900,0.15
121782410,0.18
603952,0.06
8375660,0.18
22443754,0.18
119288274,0.1
66350638,0.08
102637814,0.28
807143,0.1
12405982,0.12
39740897,0.18
788585,0.09
13207353,0.2
40267626,0.1
9786588,0.25
16382708,0.18
1026420,0.25
2366165,0.02
71786074,0.11
23915367,0.09
1294498,0.12
74701796,0.35
87996470,0.21
67828325,0.21
5894945,0.26
73440584,0.22
73600187,0.1
63907208,0.25
874862,0.16
16472120,0.3
65905407,0.15
40384411,0.11
120613940,0.13
40705357,0.43
1006108,0.08
31527554,0.18
55019095,0.11
80791425,0.24
63424822,0.11
13007652,0.13
59975635,0.2
6570316,0.13
57684060,0.17
3705877,0.15
3706738,0.14
103841135,0.25
48545920,0.42
48685609,0.24
66160594,0.09
8995316,0.23
91017915,0.26
19145689,0.23
54888993,0.15
12576508,0.33
52556777,0.08
20029414,0.24
47220215,0.2
75149470,0.46
1311693,0.23
119689834,0.11
45694313,0.34
7626123,0.52
44125643,0.13
22454439,0.33
10140699,0.04
41308289,0.06
60236751,0.35
75961619,0.13
39600812,0.09
66482325,0.09
663454,0.2
98707642,0.18
3186621,0.18
16502311,0.25
28574638,0.28
1398524,0.19
6837828,0.08
15430567,0.29
29664329,0.2
22443190,0.2
59070495,0.07
16081474,0.17
415767,0.16
13478570,0.25
1015211,0.33
14908890,0.34
45172143,0.03
1197205,0.1
34352590,0.13
39420233,0.17
76263381,0.22
60396696,0.22
31207546,0.31
16652155,0.18
66106072,0.29
16393071,0.4
16472705,0.1
12266262,0.07
11854669,0.17
20029551,0.24
69276359,0.09
65733888,0.06
41141648,0.06
4157153,0.19
23966097,0.04
21370742,0.19
31256557,0.25
120943814,0.27
4547095,0.11
24685927,0.27
43064232,0.02
46834038,0.08
59242936,0.04
129966154,0.34
15460820,0.26
88929133,0.29
28694557,0.18
55933874,0.15
19346442,0.13
13687287,0.07
118250618,0.19
2307399,0.14
811564,0.23
42405459,0.16
26399977,0.37
62345404,0.05
70282934,0.23
6699860,0.33
5344732,0.13
67376377,0.09
56138513,0.17
127897962,0.11
80731377,0.08
73520782,0.02
89987611,0.17
102945828,0.14
802900,0.05
1302043,0.16
68568737,0.08
481098,0.07
56552885,0.23
88885269,0.18
27711640,0.06
60984550,0.04
50535611,0.22
17353050,0.15
8630221,0.28
70872150,0.19
130793780,0.26
11717989,0.43
37651926,0.09
58634053,0.29
4307845,0.07
779279,0.31
